task_id,solution,base_status,plus_status,base_fail_tests,plus_fail_tests,gt_solution,question_prompt,entry_point
Mbpp/3,"def is_not_prime(n):
    """"""
    Determines if a number is not prime.
    
    :param int n: The number to check for primality.
    :return bool: True if the number is not prime, False otherwise.
    """"""
    # Base cases
    if n <= 1:
        return False
    if n <= 3:
        return True
    
    # Check divisibility up to the square root of n
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return True
    
    return False",fail,fail,[[1]],[[True]],"
import math
def is_not_prime(n):
    if n == 1:
        return True
    for i in range(2, int(math.sqrt(n))+1):
        if n % i == 0:
            return True
    return False
","""""""
Write a python function to identify non-prime numbers.
assert is_not_prime(2) == False
""""""
",is_not_prime
Mbpp/4,"import heapq
def heap_queue_largest(numbers, n):
    """"""
    Returns the n largest integers from a given list of numbers in descending order.
    
    :param numbers: List of integers.
    :param n: The number of largest integers to return.
    :return: List of n largest integers in descending order.
    """"""
    # Convert the list to a min-heap (which is a max-queue when accessed in reverse)
    heapq.heapify(numbers)
    
    # Extract the top n elements from the heap
    result = [heapq.heappop(numbers) for _ in range(n)]
    
    return result",fail,fail,"[[[25, 35, 22, 85, 14, 65, 75, 22, 58], 3]]","[[[9, 8, 7, 6, 5, 4, 3, 2, 1], 3]]","
import heapq as hq
def heap_queue_largest(nums: list,n: int) -> list:
  largest_nums = hq.nlargest(n, nums)
  return largest_nums
","""""""
Write a function to find the n largest integers from a given list of numbers, returned in descending order.
assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]
""""""
",heap_queue_largest
Mbpp/12,"def sort_matrix(matrix):
    # Calculate the sum of each row
    row_sums = [sum(row) for row in matrix]
    
    # Sort the matrix based on the row sums in ascending order
    sorted_matrix = sorted(matrix, key=lambda x: row_sums.index(x[0]))
    
    return sorted_matrix",fail,fail,"[[[[1, 2, 3], [2, 4, 5], [1, 1, 1]]]]","[[[[-5, -8, -9], [-6, -4, -3], [-2, -1, -4]]]]","
def sort_matrix(M):
    result = sorted(M, key=sum)
    return result
","""""""
Write a function to sort a given matrix in ascending order according to the sum of its rows.
assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]
""""""
",sort_matrix
Mbpp/6,"def differ_At_One_Bit_Pos(a, b):
    """"""
    Check if two numbers differ at exactly one bit position.
    
    Args:
        a (int): The first number.
        b (int): The second number.
        
    Returns:
        bool: True if the numbers differ at exactly one bit position, False otherwise.
    """"""
    # Convert numbers to binary strings
    a_bin = bin(a)[2:]  # bin() returns '0bxxxx', so [2:] to remove '0b'
    b_bin = bin(b)[2:]  # similarly for b
    
    # Compare the binary strings character by character
    # If they differ at exactly one position, the lengths will be equal and there will be one position where they differ
    return len(a_bin) == len(b_bin) and (a_bin != b_bin)",fail,fail,"[[15, 8]]","[[-101, -100]]","
def is_Power_Of_Two(x: int): 
    return x > 0 and (x & (x - 1)) == 0
def differ_At_One_Bit_Pos(a: int,b: int):
    return is_Power_Of_Two(a ^ b)
","""""""
Write a python function to check whether the two numbers differ at one bit position only or not.
assert differ_At_One_Bit_Pos(13,9) == True
""""""
",differ_At_One_Bit_Pos
Mbpp/57,"def find_Max_Num(digits):
    """"""
    Finds the largest possible number that can be formed using the digits in the list.
    """"""
    # Sort the digits in descending order
    digits.sort(reverse=True)
    
    # Initialize the result with the first digit
    max_num = digits[0]
    
    # Iterate through the remaining digits
    for digit in digits[1:]:
        # If the current digit is greater than the last digit in max_num, update max_num
        if digit > max_num[-1]:
            max_num = digit + max_num
    
    return max_num",fail,fail,"[[[1, 2, 3]]]","[[[9, 3, 2, 1]]]","
def find_Max_Num(arr) : 
    arr.sort(reverse = True)
    return int("""".join(map(str,arr)))
","""""""
Write a python function to find the largest number that can be formed with the given list of digits.
assert find_Max_Num([1,2,3]) == 321
""""""
",find_Max_Num
Mbpp/9,"def find_rotations(s):
    """"""
    Finds the minimum number of rotations (greater than 0) required to get the same string.
    """"""
    # Convert the string to a list to easily handle rotations
    s_list = list(s)
    
    # Initialize the minimum rotations to a large number
    min_rotations = float('inf')
    
    # Iterate over all possible starting indices
    for i in range(len(s)):
        # Generate all rotations starting from the current index
        rotations = [s_list[j:] + s_list[:j] for j in range(len(s))]
        
        # Check if any rotation is equal to the original string
        for rotation in rotations:
            if rotation == s:
                # Update the minimum rotations if a shorter rotation sequence is found
                min_rotations = min(min_rotations, len(rotations))
    
    return min_rotations

# Test cases
assert find_rotations(""aaaa"") == 1
assert find_rotations(""abab"") == 1
assert find_rotations(""abcabc"") == 2
assert find_rotations(""abcd"") == 0  # No rotation needed since it's already a palindrome",fail,fail,[],[],"
def find_Rotations(s): 
    n = len(s)
    s += s
    for i in range(1, n + 1):
        if s[i: i + n] == s[0: n]:
            return i
    return n
","""""""
Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.
assert find_Rotations(""aaaa"") == 1
""""""
",find_Rotations
Mbpp/61,"def count_Substrings(s):
    # Initialize a counter for valid substrings
    count = 0
    
    # Iterate over the string from index 0 to the second last
    for i in range(len(s) - 1):
        # Calculate the sum of the digits of the current substring
        digit_sum = sum(int(digit) for digit in s[i: i + len(s)])
        
        # Check if the sum of digits equals the length of the substring
        if digit_sum == len(s[i: i + len(s)]):
            count += 1
    
    return count",fail,fail,[['112112']],[['12233445566778899']],"
from collections import defaultdict
def count_Substrings(s):
    n, count, sum = len(s), 0, 0
    mp = defaultdict(lambda : 0)
    mp[0] += 1
    for i in range(n):
        sum += ord(s[i]) - ord('0')
        count += mp[sum - i - 1]
        mp[sum - i - 1] += 1
    return count
","""""""
Write a python function to count the number of substrings with the sum of digits equal to their length.
assert count_Substrings('112112') == 6
""""""
",count_Substrings
Mbpp/16,"def contains_lowercase_underscore(text):
    """"""
    Returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
    """"""
    # Split the string into parts using underscores as separators
    parts = text.split('_')
    
    # Check if there are at least two parts (indicating a sequence of letters joined by underscores)
    if len(parts) < 2:
        return False
    
    # Iterate through each part to check if it contains only lowercase letters
    for part in parts:
        if not part.islower():
            return False
    
    return True

# Test cases",fail,fail,[],[],"
import re
def text_lowercase_underscore(text):
        return bool(re.match('^[a-z]+(_[a-z]+)*$', text))
","""""""
Write a function to that returns true if the input string contains sequences of lowercase letters joined with an underscore and false otherwise.
assert text_lowercase_underscore(""aab_cbbbc"")==(True)
""""""
",text_lowercase_underscore
Mbpp/63,"def max_difference(tuples):
    if not tuples:
        return 0
    
    max_diff = 0
    for t1, t2 in zip(tuples, tuples[1:]):
        diff = abs(t1[0] - t2[0]) + abs(t1[1] - t2[1])
        max_diff = max(max_diff, diff)
    
    return max_diff",fail,fail,"[[[[3, 5], [1, 7], [10, 3], [1, 2]]]]","[[[[1000000, 999999], [10000000, 9999999], [100000000, 99999999], [1000000000, 999999999]]]]","
def max_difference(test_list):
  return max(abs(a - b) for a, b in test_list)
","""""""
Write a function to find the maximum difference between available pairs in the given tuple list.
assert max_difference([(3, 5), (1, 7), (10, 3), (1, 2)]) == 7
""""""
",max_difference
Mbpp/64,"subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)]",fail,fail,"[[[['English', 88], ['Science', 90], ['Maths', 97], ['Social sciences', 82]]]]",[[[]]],"
def subject_marks(subjectmarks):
#subject_marks = [('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])
 subjectmarks.sort(key = lambda x: x[1])
 return subjectmarks
","""""""
Write a function to sort a list of tuples using the second value of each tuple.
assert subject_marks([('English', 88), ('Science', 90), ('Maths', 97), ('Social sciences', 82)])==[('Social sciences', 82), ('English', 88), ('Science', 90), ('Maths', 97)]
""""""
",subject_marks
